17	7	3.9845
5	37	3.986
54	5	3.995
52	10	4.001
40	7	4.003
54	8	4.0035
26	11	4.0045
14	25	4.0055
31	34	4.0075
92	30	4.0095
63	15	4.0095
97	9	4.011
46	24	4.0125
80	16	4.0135
31	38	4.0145
60	10	4.0155
37	5	4.0155
29	14	4.0185
20	7	4.0205
72	37	4.0245
94	34	4.025
35	28	4.0265
58	2	4.0265
40	29	4.0265
2	18	5.63
14	2	5.638
13	26	5.6445
27	23	5.6615
73	9	5.6625
69	39	5.672
33	29	5.6735
51	8	5.6735
31	26	5.674
56	7	5.6755
21	12	5.681
16	17	5.6835
43	36	5.6855
19	37	5.6905
74	29	5.692
86	34	5.692
44	23	5.693
3	19	6.8905
19	20	6.893
15	12	6.9
19	26	6.902
15	8	6.9065
30	37	6.9085
9	34	6.9105
32	3	6.9115
42	36	6.9125
4	24	6.914
18	35	6.9155
3	22	6.92
38	23	6.921
19	36	6.922
20	37	6.922
44	36	6.9235
15	9	6.9255
38	33	6.9275
4	4	6.9285
47	17	6.929
19	14	6.9295
33	19	6.9305
52	33	6.931
62	29	6.931
71	29	6.9315
6	16	6.9325
9	37	6.9325
15	22	6.9335
65	34	6.934
11	23	6.9345
61	12	6.935
67	12	6.9355
43	3	6.9355
5	30	6.9355
58	4	6.9375
26	3	6.938
58	27	6.9395
60	39	6.9395
88	26	6.94
63	21	6.94
19	19	6.94
35	2	6.941
11	27	6.941
63	26	6.9415
57	15	6.942
23	13	6.942
16	8	6.942
31	8	6.9425
13	36	6.9435
66	34	6.944
75	33	6.9445
42	1	6.9445
67	2	6.9455
38	20	6.946
69	39	6.9465
33	37	6.9465
12	7	6.9465
31	5	6.9475
23	15	6.948
23	16	6.949
17	28	6.949
63	39	6.95
9	33	6.95
79	32	6.951
36	3	6.9525
56	27	6.9525
47	26	6.9535
75	19	6.9545
4	17	6.9545
58	26	6.955
61	29	6.9555
86	13	6.9555
15	28	6.9555
88	2	6.956
49	0	6.956
69	14	6.9565
70	33	6.957
51	32	6.957
7	30	6.957
32	8	6.9585
91	36	6.959
73	33	6.959
41	29	6.959
59	12	6.9595
59	4	6.9595
51	28	6.961
56	14	6.9615
93	6	6.963
99	14	6.963
35	5	6.9635
45	33	6.964
44	22	6.964
31	1	6.964
79	26	6.965
30	26	6.9655
13	9	6.966
70	15	6.967
67	39	6.968
25	3	6.968
28	25	6.9685
79	34	6.969
57	25	6.9695
42	20	6.97
76	31	6.97
27	12	6.97
92	6	6.9705
89	30	6.971
84	26	6.972
76	15	6.972
51	6	6.972
72	7	6.973
44	24	6.973
85	36	6.974
46	24	6.975
87	6	6.9755
86	5	6.9775
61	8	6.978
74	38	6.9785
72	26	6.981
82	17	6.982
51	3	6.982
24	39	7.97
5	32	8.001
36	22	8.007
33	1	8.008
17	26	8.02
57	18	8.021
30	6	8.021
71	23	8.025
68	16	8.0265
6	37	8.027
29	19	8.0285
59	36	8.0435
62	31	8.0545
18	15	0.7
16	14	8.917
25	4	8.9265
27	10	8.927
17	21	8.9275
7	34	8.928
38	28	8.9295
9	39	8.9305
12	15	8.9335
43	31	8.935
2	8	8.935
9	29	8.936
2	35	8.943
14	5	8.945
35	7	8.949
7	17	8.9525
36	8	8.9585
59	20	8.965
81	9	8.968
20	20	8.972
36	2	8.9735
29	25	8.976
12	14	8.9765
8	39	8.977
17	26	8.9795
78	15	8.9805
21	14	8.9805
53	4	8.9875
95	20	8.9885
42	27	8.991
48	28	8.991
64	12	8.9925
30	26	8.9925
65	7	8.9935
61	38	8.994
77	29	8.9945
45	14	8.9955
57	7	8.999
